Episode,Step,PosX,PosY,Angle,DistN,AccProb,TurnLeftProb,TurnRightProb,DashProb,SkillProb,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,16,0.03,0.42,0.00,0.37,0.1969,0.1923,0.1895,0.1931,0.1982,1,3.7520,1.5906,1.5906,-3.7519,14.0771,0.4394,3.7519,1.0143,3.7531
0,17,0.06,0.42,0.00,0.36,0.1969,0.1922,0.1895,0.1932,0.1982,0,3.7798,1.5906,1.5906,-3.7798,14.2868,0.4744,3.7798,0.9999,3.7811
0,18,0.15,0.42,0.00,0.32,0.1969,0.1922,0.1894,0.1932,0.1983,3,3.8643,1.5906,1.5906,-3.8643,14.9325,0.5837,3.8643,1.0241,3.8658
0,19,0.22,0.42,0.00,0.28,0.1968,0.1921,0.1894,0.1933,0.1984,3,3.4392,1.5906,1.5906,-3.4392,11.8280,0.0774,3.4392,0.9818,3.4410
0,20,0.40,0.42,0.00,0.19,0.1968,0.1920,0.1893,0.1934,0.1986,2,4.1166,1.5906,1.5906,-4.1166,16.9463,0.9355,4.1166,1.0007,4.1190
0,21,0.55,0.42,0.00,0.12,0.1968,0.1919,0.1891,0.1935,0.1987,0,4.2645,1.5906,1.5906,-4.2644,18.1854,1.1594,4.2644,0.9779,4.2674
0,22,0.55,0.42,-38.18,0.15,0.1954,0.1789,0.1694,0.2189,0.2074,4,3.2548,1.5865,1.5865,-3.2551,10.5955,-0.1082,3.2551,1.0331,3.2235
0,23,0.52,0.42,-86.09,0.21,0.1900,0.1813,0.1680,0.2245,0.2063,4,2.5788,1.5857,1.5857,-2.5793,6.6528,-0.6152,2.5793,1.0556,2.5313
0,24,0.50,0.42,-119.54,0.25,0.1872,0.1831,0.1690,0.2251,0.2057,4,2.1027,1.5859,1.5859,-2.1032,4.4236,-0.8079,2.1032,0.9971,2.0467
0,25,0.49,0.42,-142.90,0.28,0.1858,0.1838,0.1695,0.2254,0.2054,2,1.7671,1.5859,1.5859,-1.7677,3.1248,-0.8620,1.7677,0.9988,1.7068
0,26,0.47,0.42,-161.83,0.31,0.1849,0.1842,0.1699,0.2257,0.2053,0,1.4924,1.5859,1.5859,-1.4930,2.2291,-0.8560,1.4930,0.8270,1.4293
0,27,0.46,0.42,-174.13,0.33,0.1844,0.1843,0.1701,0.2260,0.2052,2,1.3117,1.5859,1.5859,-1.3123,1.7222,-0.8274,1.3123,1.0855,1.2471
0,28,0.46,0.42,177.87,0.34,0.2070,0.2002,0.2090,0.1632,0.1907,3,2.2424,1.5870,1.5870,-2.2417,5.0252,-0.7659,2.2417,1.1334,2.3086
0,29,0.45,0.42,173.40,0.35,0.2068,0.2002,0.2091,0.1633,0.1906,0,2.2794,1.5870,1.5870,-2.2787,5.1927,-0.7527,2.2787,0.8000,2.3451
0,30,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,2,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.2000,3.0232
0,31,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,0,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.9616,3.0232
0,32,0.00,0.42,0.00,0.70,0.1971,0.1922,0.1896,0.1932,0.1980,0,3.1061,1.5906,1.5906,-3.1061,9.6476,-0.2436,3.1061,1.0398,3.1076
0,33,0.00,0.42,0.00,0.65,0.1971,0.1922,0.1896,0.1932,0.1980,4,3.1906,1.5906,1.5906,-3.1905,10.1796,-0.1685,3.1905,0.9999,3.1920
0,34,0.00,0.42,0.00,0.62,0.1970,0.1922,0.1896,0.1931,0.1980,1,3.2655,1.5906,1.5906,-3.2655,10.6634,-0.0983,3.2655,1.0048,3.2669
0,35,0.00,0.42,0.00,0.59,0.1970,0.1922,0.1896,0.1931,0.1980,0,3.3205,1.5906,1.5906,-3.3205,11.0255,-0.0446,3.3205,0.9709,3.3218
