Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Loss
1,1.60,4.60,0.5006,0.4245,-124.9083,0.2584,39.8030,-16.1655,106.1353,39.8030,-16.1655,106.6710,0.095647
1,1.47,4.70,0.4834,0.4245,-150.1367,0.2930,38.6683,-19.1688,108.8322,38.6683,109.2134,108.8322,5493.996000
1,1.42,4.80,0.4670,0.4245,-172.4318,0.3258,35.7153,-23.1140,111.8056,35.7153,-23.1140,108.2898,4.120195
1,1.12,4.90,0.4576,0.4245,175.8875,0.3445,111.6215,103.9909,42.4447,111.6215,103.9909,123.8890,2211.061000
1,1.27,5.00,-0.6971,0.4245,0.0000,0.7392,125.4218,116.7604,108.1768,125.1572,116.7604,108.1768,0.023345
1,1.43,5.10,-0.5509,0.4245,0.0000,0.6661,128.4761,114.1871,108.8932,128.3897,114.1871,108.8932,0.002485
1,1.51,5.20,-0.3915,0.4245,0.0000,0.5864,128.3038,114.1815,107.8835,128.4487,114.1815,107.8835,0.006991
1,1.53,5.30,-0.3070,0.4245,0.0000,0.5441,112.0671,104.9870,107.2926,112.0671,104.9870,113.3779,12.343520
1,1.66,5.40,-0.2321,0.4245,20.0000,0.5067,115.1681,88.1463,44.7654,115.6744,88.1463,44.7654,0.085450
1,1.79,5.50,-0.0947,0.3745,23.2676,0.4387,117.8515,103.8647,41.0998,118.4610,103.8647,41.0998,0.123844
1,1.89,5.60,0.0551,0.3200,28.1917,0.3668,114.1590,105.0767,40.1748,114.9123,105.0767,40.1748,0.189155
1,1.86,5.70,0.1925,0.2700,34.7080,0.3043,118.0668,105.9235,45.5944,118.0668,105.9235,118.7432,1783.584000
1,1.83,5.80,0.2807,0.2379,75.1590,0.2671,118.8539,99.0269,49.8795,119.4915,99.0269,49.8795,0.135526
1,1.76,5.90,0.3728,0.1078,92.5043,0.2584,119.5338,107.2264,44.8873,120.0949,107.2264,44.8873,0.104949
